name,desc,date,pr,done
youth day,to wish my friends,12.08.2021,low,no
family tour,to plan the tour,13.10.2021,medium,no
get together,to meet an school friends,12.5.2021,medium,yes
clg ,to get an TC,01.08.2021,high,no
wifi,to pay wifi bill,7.8.2011,high,no
TV recharge,to recharge TV,18.8.2021,low,no
exam,to write an exam,30.7.2021,high,no
interview,renault interview,4.8.2021,high,no
doctors day,to wish my friend,01.06.2021,low,yes
sri birthday,to wish her,11.10.2021,low,no
fathers day,to wish my father,20.5.2021,medium,yes
left handers,celebrate the day,13.8.2021,low,no
HR,revature hr round,4.6.2021,high,yes
friendhip day,to wish them,1.8.2021,low,no
revature join ,to join the company,12.7.2021high,,yes
